class	subclass	subsubclass	serialid	sample1	sample2	sample3	sample4	sample5
1	-	-	-	117.0	98.0	207.0	127.0	409.0
1	1	-	-	1.0	7.0	6.0	16.0	69.0
1	1	1	-	248.0	364.0	358.0	400.0	400.0
1	1	1	-	8.0	4.0	12.0	8.0	14.0
1	1	1	1	83.0	101.0	210.0	92.0	37.0
1	1	1	100	273.0	248.0	418.0	372.0	289.0
1	1	1	103	14.0	32.0	46.0	44.0	71.0
1	1	1	105	1.0	0	5.0	0	0
1	1	1	122	11.0	1.0	16.0	6.0	1.0
1	1	1	127	9.0	16.0	25.0	28.0	30.0
1	1	1	130	2.0	2.0	0	3.0	15.0
1	1	1	132	19.0	25.0	14.0	47.0	12.0
1	1	1	133	30.0	34.0	59.0	56.0	92.0
1	1	1	136	69.0	67.0	106.0	124.0	89.0
1	1	1	14	41.0	34.0	60.0	66.0	70.0
1	1	1	157	78.0	98.0	162.0	156.0	149.0
1	1	1	159	1.0	2.0	5.0	0	2.0
1	1	1	169	41.0	35.0	40.0	44.0	39.0
1	1	1	175	1.0	1.0	0	3.0	30.0
1	1	1	-	21.0	15.0	24.0	13.0	2.0
1	1	1	2	4.0	5.0	9.0	2.0	11.0
1	1	1	203	3.0	3.0	6.0	3.0	0
1	1	1	205	193.0	134.0	272.0	274.0	251.0
1	1	1	219	26.0	7.0	29.0	11.0	7.0
1	1	1	22	109.0	92.0	177.0	162.0	226.0
1	1	1	23	15.0	11.0	27.0	34.0	61.0
1	1	1	25	16.0	16.0	21.0	21.0	36.0
1	1	1	26	19.0	20.0	28.0	25.0	31.0
1	1	1	261	5.0	6.0	1.0	2.0	14.0
1	1	1	262	18.0	7.0	54.0	45.0	71.0
1	1	1	267	50.0	38.0	115.0	66.0	89.0
1	1	1	27	1.0	4.0	14.0	14.0	12.0
1	1	1	271	46.0	59.0	117.0	99.0	127.0
1	1	1	28	7.0	0	3.0	7.0	2.0
1	1	1	281	13.0	17.0	12.0	13.0	4.0
1	1	1	-	60.0	49.0	62.0	48.0	32.0
1	1	1	289	1.0	0	0	0	0
1	1	1	3	30.0	40.0	61.0	58.0	70.0
1	1	1	30	4.0	22.0	33.0	20.0	31.0
1	1	1	306	1.0	6.0	6.0	2.0	0
1	1	1	308	7.0	5.0	11.0	6.0	6.0
1	1	1	31	24.0	29.0	59.0	28.0	15.0
1	1	1	310	3.0	0	2.0	3.0	3.0
1	1	1	312	8.0	8.0	19.0	6.0	6.0
1	1	1	335	9.0	16.0	15.0	19.0	65.0
1	1	1	336	40.0	20.0	39.0	36.0	23.0
1	1	1	34	5.0	10.0	44.0	7.0	2.0
1	1	1	346	1.0	2.0	2.0	3.0	5.0
1	1	1	35	52.0	124.0	98.0	179.0	97.0
-	-	-	-	33.0	15.0	34.0	42.0	24.0
-	-	-	-	3.0	1.0	1.0	0	0
1	1	1	36	46.0	95.0	67.0	87.0	6.0
1	1	1	368	2.0	3.0	1.0	10.0	4.0
1	1	1	37	136.0	122.0	296.0	338.0	174.0
1	1	1	370	2.0	0	1.0	0	7.0
