superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Archaea	Candidatus Bathyarchaeota	NA	NA	123.0	120.0	486.0	818.0	3253.0
Archaea	Candidatus Lokiarchaeota	NA	NA	4.0	1.0	9.0	2.0	5.0
Archaea	Candidatus Micrarchaeota	NA	NA	9.0	13.0	9.0	19.0	14.0
Archaea	Candidatus Nanohaloarchaeota	NA	Nanohaloarchaea	1.0	2.0	2.0	1.0	0
Archaea	Candidatus Odinarchaeota	NA	NA	2.0	0	2.0	3.0	6.0
Archaea	Candidatus Thorarchaeota	NA	NA	8.0	9.0	9.0	14.0	23.0
Archaea	Candidatus Woesearchaeota	NA	NA	4.0	2.0	11.0	4.0	28.0
Archaea	Crenarchaeota	Acidilobales	Thermoprotei	2.0	4.0	3.0	5.0	1.0
Archaea	Crenarchaeota	Desulfurococcales	Thermoprotei	5.0	3.0	1.0	4.0	18.0
Archaea	Crenarchaeota	NA	NA	60.0	74.0	60.0	43.0	9.0
Archaea	Crenarchaeota	Sulfolobales	Thermoprotei	10.0	5.0	23.0	4.0	11.0
Archaea	Crenarchaeota	Thermoproteales	Thermoprotei	8.0	11.0	14.0	13.0	20.0
Archaea	Euryarchaeota	Archaeoglobales	Archaeoglobi	6.0	8.0	12.0	10.0	10.0
Archaea	Euryarchaeota	Candidatus Altiarchaeales	NA	6.0	16.0	7.0	23.0	31.0
Archaea	Euryarchaeota	Halobacteriales	Halobacteria	25.0	35.0	27.0	25.0	26.0
Archaea	Euryarchaeota	Haloferacales	Halobacteria	41.0	41.0	24.0	51.0	37.0
Archaea	Euryarchaeota	Methanobacteriales	Methanobacteria	22.0	25.0	53.0	33.0	598.0
Archaea	Euryarchaeota	Methanocellales	Methanomicrobia	10.0	4.0	4.0	20.0	37.0
Archaea	Euryarchaeota	Methanococcales	Methanococci	10.0	9.0	7.0	11.0	14.0
Archaea	Euryarchaeota	Methanomassiliicoccales	Thermoplasmata	7.0	12.0	15.0	6.0	40.0
Archaea	Euryarchaeota	Methanomicrobiales	Methanomicrobia	72.0	50.0	85.0	57.0	165.0
Archaea	Euryarchaeota	Methanosarcinales	Methanomicrobia	116.0	194.0	188.0	193.0	2078.0
Archaea	Euryarchaeota	NA	Hadesarchaea	4.0	0	12.0	4.0	27.0
Archaea	Euryarchaeota	NA	Halobacteria	8.0	2.0	13.0	8.0	1.0
Archaea	Euryarchaeota	NA	Methanomicrobia	5.0	9.0	11.0	13.0	27.0
Archaea	Euryarchaeota	NA	NA	63.0	50.0	93.0	84.0	358.0
